"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.525142917E-1,1.366037484E-2,-1.199141139E-1,1.307788710E-2,1.213961765E-1
1.624932917E-1,-1.007784063E-2,-8.548746228E-2,3.332210342E-2,9.230401755E-2
1.725032917E-1,1.973727643E-3,-1.275470692E-1,6.893867254E-3,1.277484867E-1
1.825132917E-1,-2.061183717E-2,-1.128775746E-1,1.775330703E-2,1.161093217E-1
1.924922917E-1,-3.256928355E-2,-7.949815929E-2,3.274674654E-2,9.194055128E-2
2.025022917E-1,1.039178129E-2,-1.121308851E-1,9.146219292E-3,1.129822015E-1
2.124812917E-1,-1.348210786E-2,-1.018023634E-1,-1.712064743E-3,1.027054993E-1
2.224912917E-1,9.799695890E-3,-9.566746473E-2,-1.778956433E-2,9.779962396E-2
2.324702917E-1,1.499494700E-2,-1.118350160E-1,-7.556941509E-3,1.130885786E-1
2.424802917E-1,9.666690007E-3,-1.097411281E-1,-7.035369873E-3,1.103904730E-1
2.524892917E-1,-4.966131616E-3,-1.163286012E-1,1.872864087E-2,1.179311999E-1
2.624692917E-1,-2.597132195E-3,-9.780052900E-2,7.622434893E-3,9.813149384E-2
2.724782917E-1,1.214759052E-2,-9.749121130E-2,-8.753277264E-3,9.863427446E-2
2.824582917E-1,3.213063274E-3,-1.203468078E-1,-9.908687077E-3,1.207967715E-1
2.924672917E-1,5.149240829E-3,-1.055539370E-1,-1.538636327E-2,1.067936724E-1
3.024472917E-1,1.871200372E-3,-1.257016879E-1,-4.342142344E-3,1.257905797E-1
3.124562917E-1,-2.744171396E-2,-8.731120884E-2,1.667041183E-2,9.302793927E-2
3.224662917E-1,-8.068591151E-3,-1.068865174E-1,7.211955786E-3,1.074329655E-1
3.324452917E-1,-6.725686714E-3,-8.921506226E-2,-1.056941788E-2,9.009037013E-2
3.424552917E-1,1.847610511E-3,-1.040500331E-1,1.611259202E-2,1.053064038E-1
3.524352917E-1,-1.810829697E-2,-1.209677821E-1,1.093897561E-2,1.228038107E-1
3.624442917E-1,-2.783256378E-3,-1.085482961E-1,-6.996773682E-3,1.088091630E-1
3.724242917E-1,1.706107892E-3,-9.732515037E-2,-4.888272285E-4,9.734133064E-2
3.824332917E-1,-1.253794698E-2,-9.897289574E-2,-2.152827402E-2,1.020602802E-1
3.924432917E-1,-1.014053375E-2,-9.586393118E-2,6.529000998E-3,9.661962316E-2
4.024222917E-1,-3.062314745E-3,-1.045488006E-1,-2.338301996E-2,1.071755340E-1
4.124322917E-1,-1.685693800E-2,-7.012741148E-2,-3.348115683E-3,7.220263208E-2
4.224112917E-1,-1.123573551E-2,-9.900330126E-2,-1.686687827E-2,1.010563555E-1
4.324212917E-1,-2.294849418E-2,-7.162371397E-2,-3.563877940E-2,8.322687298E-2
4.424002917E-1,9.028283693E-3,-1.479655463E-1,-1.161841750E-2,1.486953275E-1
4.524102917E-1,-1.623537898E-2,-1.142768133E-1,-5.344309425E-4,1.154255743E-1
4.624202917E-1,-1.670368614E-2,-1.062094098E-1,6.498600044E-3,1.077111121E-1
4.723992917E-1,-3.180317039E-2,-5.666712105E-2,-2.800811729E-3,6.504190035E-2
4.824092917E-1,1.342122372E-2,-1.135540974E-1,1.023263196E-2,1.148014331E-1
4.923882917E-1,-1.138341425E-2,-1.173115182E-1,-2.269884548E-3,1.178843789E-1
5.023982917E-1,1.684027344E-2,-1.264542246E-1,-3.684915304E-3,1.276238392E-1
5.123772917E-1,-1.555085275E-3,-8.696154535E-2,-1.027939598E-2,8.758078923E-2
5.223872917E-1,-1.550626773E-2,-1.083570921E-1,-5.871773958E-3,1.096183447E-1
5.323972917E-1,-1.540332019E-2,-1.085149670E-1,-1.821991940E-2,1.111068215E-1
5.423762917E-1,1.057490878E-2,-1.237902331E-1,-1.059631507E-2,1.246921505E-1
5.523862917E-1,8.585174382E-3,-1.037553334E-1,-3.300168514E-2,1.092153179E-1
5.623652917E-1,6.613109540E-3,-1.211057764E-1,-3.282509466E-2,1.256496285E-1
5.723752917E-1,-2.236559987E-4,-9.147150278E-2,-2.407883406E-2,9.458792784E-2
5.823542917E-1,-1.266835816E-4,-1.224424499E-1,-8.025883636E-3,1.227052745E-1
5.923642917E-1,-4.738179741E-2,-1.019374341E-1,3.912965851E-3,1.124792714E-1
6.023732917E-1,2.574602142E-5,-7.051332772E-2,-2.877766569E-2,7.615959619E-2
6.123532917E-1,1.853596598E-2,-1.344421059E-1,-2.985939145E-2,1.389598688E-1
