"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.561286250E-1,-3.277452081E-2,-1.036623627E-1,-2.592653136E-3,1.087509839E-1
1.661386250E-1,-3.430122882E-2,-9.602063656E-2,4.890494227E-2,1.130850579E-1
1.761176250E-1,-2.122743934E-2,-1.075191861E-1,6.126714845E-3,1.097657333E-1
1.861276250E-1,-2.262112319E-2,-8.280826807E-2,1.578631282E-2,8.728191192E-2
1.961376250E-1,-1.741417766E-2,-5.645428240E-2,1.358542313E-2,6.062098075E-2
2.061166250E-1,-1.308636099E-2,-1.248585194E-1,2.968163838E-2,1.290034975E-1
2.161266250E-1,-1.146375865E-2,-9.850745738E-2,2.406713963E-3,9.920145762E-2
2.261056250E-1,-3.851297826E-2,-1.242656118E-1,7.806035180E-3,1.303308327E-1
2.361156250E-1,-2.571313083E-2,-7.904032230E-2,-3.215500832E-2,8.912060484E-2
2.460946250E-1,-5.438407570E-2,-1.094049132E-1,9.942605495E-3,1.225802518E-1
2.561046250E-1,-4.828923047E-2,-6.748096168E-2,9.673631291E-3,8.354106242E-2
2.660836250E-1,-3.628401965E-2,-1.297760278E-1,-6.232897997E-2,1.484696912E-1
2.760936250E-1,-2.286378264E-2,-9.688193142E-2,-2.896359801E-2,1.036713615E-1
2.860726250E-1,-4.835384220E-2,-1.007492799E-1,-1.825383668E-2,1.132330076E-1
2.960826250E-1,-2.227730691E-2,-7.639270306E-2,-6.081104279E-3,7.980666208E-2
3.060926250E-1,-2.923490882E-2,-1.348724610E-1,1.570678954E-2,1.388955142E-1
3.160716250E-1,-3.660240054E-2,-9.512425840E-2,-8.867887259E-3,1.023083559E-1
3.260816250E-1,-1.036185086E-2,-1.095417380E-1,-6.744176249E-3,1.102372180E-1
3.360606250E-1,-2.635661691E-2,-1.061012363E-1,3.675559759E-2,1.153391415E-1
3.460706250E-1,-1.386053234E-2,-1.021619672E-1,3.932135582E-2,1.103419726E-1
3.560496250E-1,-5.898086429E-3,-8.674344420E-2,1.063491583E-2,8.759174602E-2
3.660596250E-1,-2.803155184E-3,-1.150071305E-1,4.385411739E-2,1.231165357E-1
3.760386250E-1,-1.365061730E-2,-5.943870127E-2,-5.964157681E-3,6.127699192E-2
3.860486250E-1,-1.246684849E-2,-1.187195277E-1,2.249423862E-2,1.214732042E-1
3.960586250E-1,-5.453405678E-2,-8.601897418E-2,5.334999561E-3,1.019886733E-1
