,t,a,a_kal,v_kal
0,0.1525142917,0.0130778871,0.019341287823141186,0.0
1,0.1624932917,0.03332210342,0.01723558522240492,0.00018250030806075206
2,0.1725032917,0.006893867254,0.015086556479365043,0.00034427262727811103
3,0.1825132917,0.01775330703,0.012952359347300569,0.0004846074009905723
4,0.1924922917,0.03274674654,0.010811810820446811,0.000603178728042548
5,0.2025022917,0.009146219292,0.008653132905889867,0.000700600771392863
6,0.2124812917,-0.001712064743,0.00660251608378869,0.0007767188320268641
7,0.2224912917,-0.01778956433,0.004786064562537197,0.0008337186781617252
8,0.2324702917,-0.007556941509,0.0032975130574507227,0.0008740516886966549
9,0.2424802917,-0.007035369873,0.0021110699010268652,0.0009011216464038351
10,0.2524892917,0.01872864087,0.0011622990271881373,0.0009175032212050872
11,0.2624692917,0.007622434893,0.00033406810642591254,0.0009249700932018213
12,0.2724782917,-0.008753277264,-0.00036643882009429,0.0009248080939652679
13,0.2824582917,-0.009908687077,-0.0008837831204912192,0.0009185694864817462
14,0.2924672917,-0.01538636327,-0.0012119788575153585,0.0009080812456628123
15,0.3024472917,-0.004342142344,-0.0013836508324046493,0.0008951290535101114
16,0.3124562917,0.01667041183,-0.0015127835355833697,0.0008806338477155154
17,0.3224662917,0.007211955786,-0.0017338925158939457,0.0008643842340778714
18,0.3324452917,-0.01056941788,-0.0020672048715449326,0.0008454186586632452
19,0.3424552917,0.01611259202,-0.002495967061121245,0.0008225799831402509
20,0.3524352917,0.01093897561,-0.003099430749440456,0.000794658948065548
21,0.3624442917,-0.006996773682,-0.0038548813591397484,0.0007598560931181584
22,0.3724242917,-0.0004888272285,-0.004668126402247796,0.0007173262843888344
23,0.3824332917,-0.02152827402,-0.0054853859358332605,0.0006665130318929079
24,0.3924432917,0.006529000998,-0.0062203336613421345,0.0006079259053090452
25,0.4024222917,-0.02338301996,-0.006895991931847423,0.0005424819987618258
26,0.4124322917,-0.003348115683,-0.007424593833564015,0.0004708074670059414
