,t,a,a_kal,v_kal
0,1.01,0.0178,-0.0013925243568484434,0.0
1,1.02,0.0126,-0.0018297451169087555,-1.611134736878601e-05
2,1.03,0.00757,-0.0022641776537361677,-3.658096122201064e-05
3,1.04,-0.00143,-0.002681525072524333,-6.130947485331317e-05
4,1.05,-0.0428,-0.0030620157282362595,-9.002717885711615e-05
5,1.06,-0.00724,-0.0033701059900064505,-0.00012218778744832974
6,1.07,-0.00537,-0.003621082637514054,-0.0001571437305859323
7,1.08,-8.07e-05,-0.0038156969326257396,-0.0001943276284366313
8,1.09,0.0137,-0.0039569279550428415,-0.00023319075287497423
9,1.1,-0.0445,-0.004050378812603923,-0.0002732272867132081
10,1.11,-0.0297,-0.004061166283155949,-0.0003137850121920075
11,1.12,-0.0198,-0.004003635261577132,-0.000354109019915673
12,1.13,0.0171,-0.0038991435471198935,-0.00039362291395915726
13,1.14,0.0254,-0.003787553916657543,-0.0004320564012780445
14,1.15,-0.00457,-0.003687542923079932,-0.0004694318854767319
15,1.16,-0.027,-0.003589050179454544,-0.0005058148509894043
16,1.17,0.00516,-0.003485901509136824,-0.0005411896094323612
17,1.18,0.000209,-0.0034062664941767167,-0.000575650449448929
18,1.19,0.00399,-0.003357631004237294,-0.000609469936940999
19,1.2,0.0215,-0.0033503022338268957,-0.00064300960313132
20,1.21,-0.0158,-0.0033984123840277766,-0.0006767531762205934
21,1.22,0.0273,-0.003481144412824753,-0.0007111509602048561
22,1.23,-0.0137,-0.003620221487707107,-0.0007466577897075154
23,1.24,0.0154,-0.0037864105184668064,-0.000783690949738385
24,1.25,-0.0467,-0.003987299728814579,-0.000822559500974792
25,1.26,0.0254,-0.004180388785340839,-0.0008633979435455691
26,1.27,0.00104,-0.004402189415301045,-0.0009063108345487785
27,1.28,-0.0384,-0.004632841259906423,-0.0009514859879248159
28,1.29,-0.00814,-0.00484337456633032,-0.0009988670670559997
29,1.3,-0.0152,-0.005050077920514373,-0.0010483343294902232
30,1.31,0.0164,-0.005252804779001338,-0.0010998487429878018
31,1.32,-0.0207,-0.005473382705809849,-0.0011534796804118577
32,1.33,0.0105,-0.005693275451980431,-0.0012093129712008092
33,1.34,-0.0137,-0.005931783426317392,-0.0012674382655922982
34,1.35,0.0118,-0.006176122289436362,-0.001327977794171067
35,1.36,-0.0208,-0.006439834228370809,-0.0013910575767601028
36,1.37,0.0103,-0.0067024501299408,-0.0014567689985516608
37,1.38,4.8e-05,-0.0069788471002345115,-0.0015251754847025358
38,1.39,0.00254,-0.007258158676138028,-0.0015963605135843985
39,1.4,-0.032,-0.0075329768794568375,-0.001670316191362373
40,1.41,-0.0218,-0.007774813423400495,-0.0017468551428766598
41,1.42,-0.0061,-0.007985240992624914,-0.0018256554149567868
42,1.43,-0.0261,-0.008173537320072668,-0.0019064493065202748
43,1.44,0.0242,-0.00833141002557837,-0.00198897404324853
44,1.45,-0.00853,-0.008490320232988026,-0.002073082694541362
45,1.46,-0.0229,-0.008630613307900527,-0.002158687362245805
46,1.47,-0.00367,-0.008741316995847586,-0.0022455470137645456
47,1.48,-0.0179,-0.008832533794048823,-0.0023334162677140276
48,1.49,-0.022,-0.008896692678241778,-0.0024220624000754806
49,1.5,-0.0352,-0.008934307716587663,-0.002511217402049628
50,1.51,0.0107,-0.008946363976976866,-0.0026006207605174508
51,1.52,0.0121,-0.008971354054001906,-0.0026902093506723447
52,1.53,-0.00539,-0.009019573563825333,-0.002780163988761481
53,1.54,-0.00704,-0.009084708682866333,-0.0028706853999949395
54,1.55,0.00649,-0.009166614178832251,-0.0029619420143034325
55,1.56,0.0248,-0.009271580076924836,-0.003054132985582218
56,1.57,0.00993,-0.009402449957069545,-0.00314750313575219
57,1.58,-0.0261,-0.009533959513200043,-0.0032421851831035383
58,1.59,0.000748,-0.009623786434708447,-0.003337973912843081
59,1.6,-0.0445,-0.00966535235914572,-0.003434419606812352
60,1.61,-0.0166,-0.009614197718898942,-0.003530817357202575
61,1.62,0.00539,-0.009473106198630555,-0.0036262538767902227
62,1.63,-0.0326,-0.009244576544005498,-0.003719842290503401
63,1.64,-0.0256,-0.008897293837640046,-0.003810551642411629
64,1.65,-0.00874,-0.008429675895293054,-0.003897186491076294
65,1.66,-0.0253,-0.007850841609113675,-0.003978589078598328
66,1.67,-0.016,-0.007154176766978215,-0.004053614170478787
67,1.68,-0.0116,-0.006351603336614164,-0.004121143070996749
68,1.69,0.00992,-0.005455907214125351,-0.004180180623750447
69,1.7,-0.00711,-0.0044898371861458305,-0.004229909345751803
70,1.71,-0.00745,-0.003452276746264863,-0.004269619915413856
71,1.72,-0.000684,-0.0023509197082555895,-0.0042986358976864585
72,1.73,-0.00329,-0.0011982475257814283,-0.004316381733856643
73,1.74,0.00292,-1.6797189332264095e-06,-0.004322381370080217
74,1.75,-0.0195,0.0012264549035901247,-0.004316257494156932
75,1.76,-0.0589,0.002488439326640682,-0.004297683023005778
76,1.77,0.0491,0.00378702972183329,-0.004266305677763408
77,1.78,-0.0309,0.005032927064646236,-0.00422220589383101
78,1.79,0.0277,0.0062421977085894385,-0.0041658302699648314
79,1.8,-0.00226,0.007352270898543309,-0.004097857926929168
80,1.81,0.0248,0.008350215623608877,-0.004019345494318407
81,1.82,-0.0301,0.009192591504008692,-0.003931631458680319
82,1.83,-0.0211,0.009880623739760702,-0.003836265382461472
83,1.84,-0.0598,0.010370920383267947,-0.0037350076618463284
84,1.85,-0.0173,0.010631227243462618,-0.0036299969237126757
85,1.86,0.00978,0.010565187652263516,-0.003524014849234045
86,1.87,-0.00405,0.010073380171124833,-0.003420822010117103
87,1.88,0.0486,0.009075228993153089,-0.0033250789642957153
88,1.89,-0.0249,0.007453344943658724,-0.003242436094611656
89,1.9,0.00319,0.0051640915757339804,-0.0031793489120146927
90,1.91,-0.0247,0.002103694608338728,-0.003143009981094329
91,1.92,-0.0532,-0.0018062500217944522,-0.0031415227581616076
92,1.93,0.0144,-0.006654045746806847,-0.0031838242370046143
93,1.94,0.0503,-0.012592618904667365,-0.0032800575602619855
94,1.95,-0.000434,-0.0197527433869178,-0.0034417843717199116
95,1.96,0.0447,-0.02820186589515694,-0.0036815574181302854
96,1.97,-0.0369,-0.03804629486200085,-0.004012798221916075
97,1.98,-0.0391,-0.04930648849416365,-0.0044495621386968975
98,1.99,-0.0539,-0.06204067893176639,-0.005006297975826548
99,2.0,0.0267,-0.07629811387479916,-0.005697991939859376
100,2.01,-0.0325,-0.09217087345225214,-0.006540336876494615
101,2.02,0.0331,-0.10964812843830639,-0.0075494318859474305
102,2.03,-0.0296,-0.12875700055208528,-0.008741457530899364
103,2.04,-0.00859,-0.1494126316764969,-0.010132305692042307
104,2.05,-0.00541,-0.17153425218771132,-0.011737040111363313
105,2.06,-0.0172,-0.19498194400767146,-0.01356962109234027
106,2.07,0.00317,-0.21954868833134736,-0.015642274254035318
